order_item_id,order_id,product_id,quantity,discount,unit_price
OI000001,O00001,P0087,1,0.15,300.28
OI000002,O00002,P0053,2,0.0,758.66
OI000003,O00002,P0357,1,0.0,440.52
OI000004,O00003,P0318,1,0.05,1980.12
OI000005,O00003,P0252,2,0.0,1238.3
OI000006,O00004,P0248,1,0.05,2340.7
OI000007,O00005,P0365,1,0.1,307.23
OI000008,O00005,P0370,1,0.1,752.51
OI000009,O00005,P0498,1,0.1,867.26
OI000010,O00006,P0084,3,0.0,486.41
OI000011,O00006,P0038,2,0.0,56272.22
OI000012,O00006,P0074,2,0.1,10368.98
OI000013,O00006,P0490,1,0.1,5181.92
OI000014,O00007,P0130,1,0.0,5536.61
OI000015,O00008,P0314,1,0.1,1071.23
OI000016,O00008,P0224,1,0.15,45439.97
OI000017,O00008,P0274,2,0.15,49610.04
OI000018,O00009,P0422,1,0.15,246.11
OI000019,O00009,P0049,1,0.05,1929.71
OI000020,O00009,P0108,1,0.05,2823.68
OI000021,O00010,P0298,1,0.0,531.51
OI000022,O00011,P0427,2,0.05,1287.64
OI000023,O00012,P0030,2,0.0,2737.23
OI000024,O00012,P0303,1,0.2,5181.97
OI000025,O00012,P0461,1,0.1,21095.88
OI000026,O00013,P0345,1,0.2,305.98
OI000027,O00013,P0464,1,0.05,1359.18
OI000028,O00013,P0494,2,0.0,6687.28
OI000029,O00013,P0413,1,0.15,1178.07
OI000030,O00014,P0069,2,0.05,1542.85
OI000031,O00014,P0441,1,0.05,60173.16
OI000032,O00014,P0348,2,0.0,753.48
OI000033,O00014,P0494,1,0.0,6687.28
OI000034,O00015,P0297,1,0.05,1396.46
OI000035,O00016,P0254,1,0.0,19575.47
OI000036,O00016,P0203,1,0.1,6941.86
OI000037,O00016,P0163,1,0.0,1439.63
OI000038,O00017,P0103,2,0.1,53700.49
OI000039,O00017,P0485,2,0.15,564.63
OI000040,O00018,P0202,1,0.0,636.25
OI000041,O00019,P0154,1,0.0,20668.37
OI000042,O00019,P0263,1,0.1,2111.79
OI000043,O00019,P0028,1,0.0,41867.45
OI000044,O00020,P0453,1,0.1,48739.67
OI000045,O00020,P0338,1,0.05,1804.55
OI000046,O00020,P0322,1,0.1,59666.87
OI000047,O00021,P0249,1,0.0,3213.44
OI000048,O00021,P0146,1,0.0,1143.39
OI000049,O00022,P0291,1,0.15,18361.75
OI000050,O00023,P0137,1,0.05,14168.04
OI000051,O00023,P0138,1,0.0,23653.68
OI000052,O00024,P0023,1,0.15,4138.83
OI000053,O00025,P0043,1,0.0,23038.21
OI000054,O00025,P0026,3,0.05,1402.03
OI000055,O00026,P0052,1,0.05,20564.08
OI000056,O00026,P0318,1,0.0,1980.12
OI000057,O00026,P0411,3,0.2,3236.93
OI000058,O00027,P0188,2,0.2,1304.41
OI000059,O00028,P0015,1,0.0,2275.44
OI000060,O00028,P0171,2,0.05,984.75
OI000061,O00028,P0233,1,0.05,14294.54
OI000062,O00029,P0158,1,0.0,24323.4
OI000063,O00030,P0438,1,0.0,24434.93
OI000064,O00031,P0174,2,0.1,27835.67
OI000065,O00032,P0068,1,0.1,1256.22
OI000066,O00032,P0162,2,0.15,1803.31
OI000067,O00033,P0027,1,0.1,7461.34
OI000068,O00033,P0386,1,0.0,748.87
OI000069,O00034,P0018,1,0.0,766.44
OI000070,O00035,P0459,1,0.15,40802.45
OI000071,O00035,P0117,1,0.05,867.75
OI000072,O00036,P0122,1,0.1,1224.32
OI000073,O00036,P0014,2,0.0,521.11
OI000074,O00037,P0112,1,0.15,27719.85
OI000075,O00037,P0095,1,0.1,789.39
OI000076,O00037,P0327,1,0.1,14900.19
OI000077,O00037,P0031,2,0.1,6781.06
OI000078,O00038,P0065,1,0.1,937.04
OI000079,O00039,P0251,1,0.0,7516.78
OI000080,O00039,P0307,1,0.2,18668.48
OI000081,O00040,P0020,1,0.0,3651.62
OI000082,O00041,P0276,3,0.0,7190.17
OI000083,O00042,P0104,1,0.05,3379.66
OI000084,O00043,P0400,1,0.1,783.87
OI000085,O00044,P0154,1,0.0,20668.37
OI000086,O00045,P0472,1,0.0,4464.22
OI000087,O00046,P0152,1,0.2,1368.76
OI000088,O00047,P0278,2,0.05,40971.93
OI000089,O00047,P0125,2,0.0,22069.6
OI000090,O00048,P0267,1,0.0,925.93
OI000091,O00048,P0297,1,0.0,1396.46
OI000092,O00049,P0410,1,0.1,15658.55
OI000093,O00050,P0186,1,0.05,3655.57
OI000094,O00051,P0183,2,0.1,1116.66
OI000095,O00052,P0025,2,0.1,6316.68
OI000096,O00052,P0497,3,0.1,34184.3
OI000097,O00053,P0185,1,0.0,2348.45
OI000098,O00053,P0445,1,0.05,5409.5
OI000099,O00053,P0115,1,0.1,487.04
OI000100,O00053,P0499,1,0.0,726.92
OI000101,O00054,P0240,2,0.15,2836.77
OI000102,O00054,P0443,1,0.1,754.99
OI000103,O00055,P0028,3,0.2,41867.45
OI000104,O00056,P0248,3,0.0,2340.7
OI000105,O00057,P0369,2,0.1,12732.55
OI000106,O00058,P0174,1,0.15,27835.67
OI000107,O00058,P0484,3,0.05,26965.87
OI000108,O00059,P0083,1,0.15,4107.0
OI000109,O00059,P0275,2,0.0,253.55
OI000110,O00060,P0073,1,0.0,4141.58
OI000111,O00060,P0041,1,0.1,8184.73
OI000112,O00061,P0418,1,0.1,2097.91
OI000113,O00061,P0034,1,0.1,1194.41
OI000114,O00062,P0414,2,0.0,12075.03
OI000115,O00062,P0331,1,0.0,23081.69
OI000116,O00062,P0301,1,0.05,2141.28
OI000117,O00063,P0282,2,0.1,31404.57
OI000118,O00064,P0339,1,0.0,47694.64
OI000119,O00065,P0391,3,0.0,465.53
OI000120,O00065,P0302,2,0.0,2111.29
OI000121,O00065,P0017,3,0.2,3788.75
OI000122,O00066,P0299,2,0.1,1421.67
OI000123,O00066,P0287,2,0.1,23897.23
OI000124,O00067,P0211,1,0.1,1172.74
OI000125,O00067,P0401,1,0.15,1273.49
OI000126,O00068,P0031,1,0.15,6781.06
OI000127,O00068,P0390,1,0.0,892.03
OI000128,O00068,P0221,1,0.1,703.03
OI000129,O00069,P0330,2,0.0,681.81
OI000130,O00069,P0021,1,0.0,553.83
OI000131,O00069,P0220,1,0.0,1748.58
OI000132,O00069,P0203,1,0.05,6941.86
OI000133,O00070,P0179,1,0.0,557.58
OI000134,O00070,P0126,2,0.0,1930.05
OI000135,O00071,P0330,1,0.1,681.81
OI000136,O00071,P0459,1,0.0,40802.45
OI000137,O00071,P0109,1,0.1,378.54
OI000138,O00072,P0111,1,0.15,16996.49
OI000139,O00072,P0108,1,0.15,2823.68
OI000140,O00073,P0271,1,0.0,6601.9
OI000141,O00074,P0465,2,0.1,5684.87
OI000142,O00074,P0314,2,0.1,1071.23
OI000143,O00074,P0292,2,0.0,1730.94
