order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state
O00001,C0994,2025-08-31,Cancelled,Credit Card,Bhubaneswar,Odisha
O00002,C3097,2025-12-29,Completed,UPI,Gurugram,Haryana
O00003,C0190,2025-10-07,Completed,Credit Card,Patna,Bihar
O00004,C2124,2025-01-26,Completed,UPI,Noida,Uttar Pradesh
O00005,C2419,2025-10-03,Completed,UPI,Surat,Gujarat
O00006,C4995,2024-07-01,Completed,UPI,Bhopal,Madhya Pradesh
O00007,C2899,2025-07-03,Completed,UPI,Noida,Uttar Pradesh
O00008,C4602,2024-04-28,Completed,UPI,Bhopal,Madhya Pradesh
O00009,C1967,2024-08-10,Completed,UPI,Kochi,Kerala
O00010,C4279,2023-10-09,Completed,UPI,Chennai,Tamil Nadu
O00011,C4250,2024-09-21,Completed,Credit Card,Lucknow,Uttar Pradesh
O00012,C3412,2024-02-23,Completed,Credit Card,Patna,Bihar
O00013,C3947,2023-08-11,Completed,COD,Nagpur,Maharashtra
O00014,C1047,2023-03-21,Completed,COD,Ahmedabad,Gujarat
O00015,C2574,2025-04-05,Completed,COD,Jaipur,Rajasthan
O00016,C0606,2024-11-12,Completed,Credit Card,Delhi,Delhi
O00017,C1367,2024-02-17,Returned,UPI,Indore,Madhya Pradesh
O00018,C2927,2023-11-30,Completed,Credit Card,Chandigarh,Chandigarh
O00019,C1959,2025-06-07,Completed,Debit Card,Pune,Maharashtra
O00020,C1065,2025-10-22,Completed,Credit Card,Gurugram,Haryana
O00021,C0518,2023-09-15,Completed,Debit Card,Kolkata,West Bengal
O00022,C2455,2025-02-01,Completed,Debit Card,Kochi,Kerala
O00023,C4234,2025-04-16,Cancelled,COD,Noida,Uttar Pradesh
O00024,C3808,2024-03-30,Completed,Net Banking,Nagpur,Maharashtra
O00025,C2590,2023-01-19,Completed,COD,Pune,Maharashtra
O00026,C2273,2025-08-11,Cancelled,UPI,Jaipur,Rajasthan
O00027,C2309,2025-09-05,Completed,Net Banking,Patna,Bihar
O00028,C1103,2024-03-08,Completed,Debit Card,Kolkata,West Bengal
O00029,C4793,2023-09-09,Completed,Debit Card,Surat,Gujarat
O00030,C0811,2025-03-06,Completed,UPI,Patna,Bihar
O00031,C3764,2025-06-25,Completed,Credit Card,Bengaluru,Karnataka
O00032,C4569,2024-10-10,Completed,Debit Card,Surat,Gujarat
O00033,C0077,2025-06-28,Completed,UPI,Pune,Maharashtra
O00034,C2310,2025-01-07,Completed,UPI,Chennai,Tamil Nadu
O00035,C1026,2023-08-09,Completed,Credit Card,Chandigarh,Chandigarh
O00036,C2065,2023-04-23,Completed,Credit Card,Noida,Uttar Pradesh
O00037,C4440,2024-07-13,Completed,UPI,Pune,Maharashtra
O00038,C2742,2025-12-17,Completed,Credit Card,Hyderabad,Telangana
O00039,C4942,2023-07-16,Completed,UPI,Bhubaneswar,Odisha
O00040,C4000,2025-11-07,Completed,Credit Card,Delhi,Delhi
O00041,C3229,2025-02-18,Completed,UPI,Noida,Uttar Pradesh
O00042,C4270,2023-08-03,Completed,Net Banking,Indore,Madhya Pradesh
O00043,C3559,2024-09-27,Completed,UPI,Surat,Gujarat
O00044,C0846,2025-11-05,Completed,Credit Card,Bhubaneswar,Odisha
O00045,C0693,2024-11-07,Completed,UPI,Patna,Bihar
O00046,C4049,2024-10-21,Completed,UPI,Gurugram,Haryana
O00047,C1333,2023-08-21,Completed,UPI,Nagpur,Maharashtra
O00048,C3038,2023-01-25,Completed,Net Banking,Chennai,Tamil Nadu
O00049,C4333,2025-07-26,Completed,UPI,Indore,Madhya Pradesh
O00050,C1275,2025-10-15,Completed,Credit Card,Bengaluru,Karnataka
O00051,C1245,2023-03-12,Completed,Debit Card,Pune,Maharashtra
O00052,C0338,2023-01-25,Completed,COD,Lucknow,Uttar Pradesh
O00053,C3295,2024-04-02,Completed,Debit Card,Hyderabad,Telangana
O00054,C0337,2023-07-30,Completed,UPI,Bhubaneswar,Odisha
O00055,C1868,2024-06-24,Completed,Credit Card,Gurugram,Haryana
O00056,C4006,2025-02-09,Completed,Net Banking,Indore,Madhya Pradesh
O00057,C0495,2025-11-28,Completed,COD,Kochi,Kerala
O00058,C4643,2024-11-07,Completed,Credit Card,Kolkata,West Bengal
O00059,C3887,2023-04-05,Completed,Credit Card,Delhi,Delhi
O00060,C0161,2023-08-08,Completed,UPI,Nagpur,Maharashtra
O00061,C2037,2025-06-24,Completed,Credit Card,Mumbai,Maharashtra
O00062,C1742,2025-12-25,Completed,UPI,Bhubaneswar,Odisha
O00063,C1508,2023-07-12,Completed,UPI,Ahmedabad,Gujarat
O00064,C3561,2023-06-24,Completed,Credit Card,Surat,Gujarat
O00065,C1376,2023-04-22,Completed,UPI,Chandigarh,Chandigarh
O00066,C1554,2023-04-21,Completed,UPI,Bhubaneswar,Odisha
O00067,C2282,2024-03-28,Completed,UPI,Nagpur,Maharashtra
O00068,C1869,2024-02-17,Completed,Net Banking,Indore,Madhya Pradesh
O00069,C1602,2024-08-26,Completed,COD,Jaipur,Rajasthan
O00070,C3828,2025-08-17,Completed,Credit Card,Noida,Uttar Pradesh
O00071,C3481,2023-07-05,Completed,UPI,Lucknow,Uttar Pradesh
O00072,C1300,2023-02-20,Returned,Credit Card,Indore,Madhya Pradesh
O00073,C0711,2025-11-30,Cancelled,Debit Card,Kolkata,West Bengal
O00074,C4168,2023-12-21,Completed,UPI,Indore,Madhya Pradesh
O00075,C2047,2023-12-29,Completed,Net Banking,Delhi,Delhi
O00076,C2882,2024-06-19,Completed,Debit Card,Bhubaneswar,Odisha
O00077,C1818,2023-02-05,Completed,Net Banking,Pune,Maharashtra
O00078,C2199,2023-10-04,Completed,Credit Card,Lucknow,Uttar Pradesh
O00079,C3333,2025-10-06,Completed,Debit Card,Surat,Gujarat
O00080,C1104,2023-07-01,Completed,Credit Card,Jaipur,Rajasthan
O00081,C3178,2024-04-15,Completed,UPI,Nagpur,Maharashtra
O00082,C3595,2024-02-21,Cancelled,COD,Hyderabad,Telangana
O00083,C3475,2025-06-07,Completed,Credit Card,Nagpur,Maharashtra
O00084,C4816,2024-02-08,Cancelled,Credit Card,Kochi,Kerala
O00085,C2178,2024-05-28,Completed,UPI,Mumbai,Maharashtra
O00086,C1195,2024-07-19,Completed,Credit Card,Noida,Uttar Pradesh
O00087,C4502,2024-03-16,Completed,Debit Card,Bhopal,Madhya Pradesh
