payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY00001,O00001,2025-09-01,Credit Card,Failed,255.24
PAY00002,O00002,2025-12-29,UPI,Success,1957.84
PAY00003,O00003,2025-10-08,Credit Card,Success,4357.71
PAY00004,O00004,2025-01-26,UPI,Success,2223.66
PAY00005,O00005,2025-10-04,UPI,Success,1734.3
PAY00006,O00006,2024-07-03,UPI,Success,137331.56
PAY00007,O00007,2025-07-04,UPI,Success,5536.61
PAY00008,O00008,2024-04-28,UPI,Success,123925.15
PAY00009,O00009,2024-08-10,UPI,Success,4724.91
PAY00010,O00010,2023-10-11,UPI,Success,531.51
PAY00011,O00011,2024-09-21,Credit Card,Success,2446.52
PAY00012,O00012,2024-02-23,Credit Card,Success,28606.33
PAY00013,O00013,2023-08-12,COD,Success,15911.92
PAY00014,O00014,2023-03-23,COD,Success,68290.16
PAY00015,O00015,2025-04-05,COD,Success,1326.64
PAY00016,O00016,2024-11-14,Credit Card,Success,27262.77
PAY00017,O00017,2024-02-18,UPI,Refunded,97620.75
PAY00018,O00018,2023-12-01,Credit Card,Success,636.25
PAY00019,O00019,2025-06-07,Debit Card,Success,64436.43
PAY00020,O00020,2025-10-24,Credit Card,Success,99280.21
PAY00021,O00021,2023-09-15,Debit Card,Success,4356.83
PAY00022,O00022,2025-02-03,Debit Card,Success,15607.49
PAY00023,O00023,2025-04-17,COD,Failed,37113.32
PAY00024,O00024,2024-04-01,Net Banking,Success,3518.01
PAY00025,O00025,2023-01-19,COD,Success,27034.0
PAY00026,O00026,2025-08-12,UPI,Failed,29284.63
PAY00027,O00027,2025-09-05,Net Banking,Success,2087.06
PAY00028,O00028,2024-03-09,Debit Card,Success,17726.28
PAY00029,O00029,2023-09-09,Debit Card,Success,24323.4
PAY00030,O00030,2025-03-08,UPI,Success,24434.93
PAY00031,O00031,2025-06-25,Credit Card,Success,50104.21
PAY00032,O00032,2024-10-10,Debit Card,Success,4196.23
PAY00033,O00033,2025-06-28,UPI,Success,7464.08
PAY00034,O00034,2025-01-08,UPI,Success,766.44
PAY00035,O00035,2023-08-09,Credit Card,Success,35506.44
PAY00036,O00036,2023-04-24,Credit Card,Success,2144.11
PAY00037,O00037,2024-07-15,UPI,Success,49888.4
PAY00038,O00038,2025-12-19,Credit Card,Success,843.34
PAY00039,O00039,2023-07-16,UPI,Success,22451.56
PAY00040,O00040,2025-11-09,Credit Card,Success,3651.62
PAY00041,O00041,2025-02-20,UPI,Success,21570.51
PAY00042,O00042,2023-08-04,Net Banking,Success,3210.68
PAY00043,O00043,2024-09-28,UPI,Success,705.48
PAY00044,O00044,2025-11-05,Credit Card,Success,20668.37
PAY00045,O00045,2024-11-09,UPI,Success,4464.22
PAY00046,O00046,2024-10-21,UPI,Success,1095.01
PAY00047,O00047,2023-08-22,UPI,Success,121985.87
PAY00048,O00048,2023-01-27,Net Banking,Success,2322.39
PAY00049,O00049,2025-07-26,UPI,Success,14092.7
PAY00050,O00050,2025-10-15,Credit Card,Success,3472.79
PAY00051,O00051,2023-03-13,Debit Card,Success,2009.99
PAY00052,O00052,2023-01-26,COD,Success,103667.63
PAY00053,O00053,2024-04-03,Debit Card,Success,8652.73
PAY00054,O00054,2023-07-31,UPI,Success,5502.0
PAY00055,O00055,2024-06-26,Credit Card,Success,100481.88
PAY00056,O00056,2025-02-10,Net Banking,Success,7022.1
PAY00057,O00057,2025-11-29,COD,Success,22918.59
PAY00058,O00058,2024-11-07,Credit Card,Success,100513.05
PAY00059,O00059,2023-04-07,Credit Card,Success,3998.05
PAY00060,O00060,2023-08-09,UPI,Success,11507.84
PAY00061,O00061,2025-06-26,Credit Card,Success,2963.09
PAY00062,O00062,2025-12-27,UPI,Success,49265.97
PAY00063,O00063,2023-07-14,UPI,Success,56528.23
PAY00064,O00064,2023-06-25,Credit Card,Success,47694.64
PAY00065,O00065,2023-04-22,UPI,Success,14712.17
PAY00066,O00066,2023-04-22,UPI,Success,45574.02
