product_id,product_name,category,sub_category,price,cost
P0001,Fragrance Product 001,Beauty,Fragrance,2221.48,1437.36
P0002,Accessories Product 002,Electronics,Accessories,513.95,315.96
P0003,Home Decor Product 003,Home & Kitchen,Home Decor,1017.51,526.91
P0004,Bags Product 004,Fashion,Bags,24509.29,20626.09
P0005,Appliances Product 005,Home & Kitchen,Appliances,1277.7,870.84
P0006,Kitchen Product 006,Home & Kitchen,Kitchen,2085.89,1628.87
P0007,Sportswear Product 007,Sports,Sportswear,2087.52,1153.04
P0008,Skincare Product 008,Beauty,Skincare,2014.16,1320.33
P0009,Footwear Product 009,Fashion,Footwear,745.83,572.62
P0010,Skincare Product 010,Beauty,Skincare,800.98,467.01
P0011,Sportswear Product 011,Sports,Sportswear,366.55,188.05
P0012,Accessories Product 012,Electronics,Accessories,2155.18,1451.54
P0013,Kitchen Product 013,Home & Kitchen,Kitchen,6213.54,3666.92
P0014,Haircare Product 014,Beauty,Haircare,521.11,371.7
P0015,Skincare Product 015,Beauty,Skincare,2275.44,1200.99
P0016,Women Clothing Product 016,Fashion,Women Clothing,262.26,204.46
P0017,Skincare Product 017,Beauty,Skincare,3788.75,2632.74
P0018,Women Clothing Product 018,Fashion,Women Clothing,766.44,445.6
P0019,Sportswear Product 019,Sports,Sportswear,836.88,514.07
P0020,Home Decor Product 020,Home & Kitchen,Home Decor,3651.62,2258.98
P0021,Appliances Product 021,Home & Kitchen,Unknown,553.83,344.45
P0022,Audio Product 022,Electronics,Audio,1878.17,1409.4
P0023,Home Decor Product 023,Home & Kitchen,Home Decor,4138.83,3269.99
P0024,Women Clothing Product 024,Fashion,Women Clothing,1887.37,1190.06
P0025,Smartphones Product 025,Electronics,Smartphones,6316.68,5063.21
P0026,Audio Product 026,Electronics,Audio,1402.03,893.48
P0027,Outdoor Product 027,Sports,Outdoor,7461.34,5030.55
P0028,Kitchen Product 028,Home & Kitchen,Kitchen,41867.45,33342.92
P0029,Fitness Product 029,Sports,Fitness,1061.1,658.26
P0030,Laptops Product 030,Electronics,Laptops,2737.23,2114.02
P0031,Fragrance Product 031,Beauty,Fragrance,6781.06,5002.24
P0032,Kitchen Product 032,Home & Kitchen,Kitchen,5344.27,3180.9
P0033,Women Clothing Product 033,Fashion,Women Clothing,640.81,434.78
P0034,Footwear Product 034,Fashion,Footwear,1194.41,888.56
P0035,Footwear Product 035,Fashion,Footwear,2616.7,2009.51
P0036,Furniture Product 036,Home & Kitchen,Furniture,41709.71,24896.58
P0037,Appliances Product 037,Home & Kitchen,Appliances,369.34,185.9
P0038,Makeup Product 038,Beauty,Makeup,56272.22,36954.33
P0039,Footwear Product 039,Fashion,Footwear,622.9,497.37
P0040,Equipment Product 040,Sports,Equipment,2156.77,1466.6
P0041,Women Clothing Product 041,Fashion,Women Clothing,8184.73,6877.78
P0042,Equipment Product 042,Sports,Equipment,17353.98,11158.56
P0043,Men Clothing Product 043,Fashion,Men Clothing,23038.21,15832.69
P0044,Fragrance Product 044,Beauty,Fragrance,59238.58,39052.49
P0045,Fitness Product 045,Sports,Fitness,448.84,262.83
P0046,Accessories Product 046,Electronics,Accessories,2162.01,1519.52
P0047,Makeup Product 047,Beauty,Makeup,1187.32,999.84
P0048,Smartphones Product 048,Electronics,Smartphones,38046.26,29268.68
P0049,Makeup Product 049,Beauty,Makeup,1929.71,1376.42
P0050,Home Decor Product 050,Home & Kitchen,Home Decor,8546.11,5641.04
P0051,Home Decor Product 051,Home & Kitchen,Home Decor,2625.06,1426.98
P0052,Accessories Product 052,Electronics,Accessories,20564.08,14107.02
P0053,Haircare Product 053,Beauty,Haircare,758.66,481.97
P0054,Men Clothing Product 054,Fashion,Men Clothing,915.61,561.16
P0055,Sportswear Product 055,Sports,Sportswear,1049.0,572.71
P0056,Outdoor Product 056,Sports,Outdoor,9462.21,7386.71
P0057,Makeup Product 057,Beauty,Makeup,2203.21,1844.19
P0058,Kitchen Product 058,Home & Kitchen,Kitchen,3095.61,1834.1
P0059,Furniture Product 059,Home & Kitchen,Furniture,295.22,157.69
P0060,Men Clothing Product 060,Fashion,Men Clothing,1173.8,720.4
P0061,Smartphones Product 061,Electronics,Smartphones,58728.26,37682.81
P0062,Skincare Product 062,Beauty,Skincare,27641.39,18484.54
P0063,Skincare Product 063,Beauty,Skincare,731.11,535.52
P0064,Haircare Product 064,Beauty,Haircare,1182.06,894.85
P0065,Equipment Product 065,Sports,Equipment,937.04,512.61
P0066,Fragrance Product 066,Beauty,Fragrance,1257.1,881.45
P0067,Skincare Product 067,Beauty,Skincare,1109.82,799.85
P0068,Haircare Product 068,Beauty,Haircare,1256.22,946.25
P0069,Equipment Product 069,Sports,Equipment,1542.85,806.97
P0070,Skincare Product 070,Beauty,Skincare,1249.39,1028.47
P0071,Makeup Product 071,Beauty,Makeup,1557.87,1103.64
P0072,Laptops Product 072,Electronics,Laptops,1219.15,986.56
